"Year (BP 1950)","Year (CE)","Nitrate (μEq/L)","Non sea-salt sulphate (μEq/L)"
114.5,1835.5,0.191,0.676
115.5,1834.5,0.245,0.578
116.5,1833.5,0.189,0.414
117.5,1832.5,0.248,0.487
118.5,1831.5,0.255,0.598
119.5,1830.5,0.194,0.666
120.5,1829.5,0.208,0.716
121.5,1828.5,0.237,0.764
122.5,1827.5,0.28,0.571
123.5,1826.5,0.233,0.504
124.5,1825.5,0.196,0.501
125.5,1824.5,0.233,0.703
126.5,1823.5,0.324,0.744
127.5,1822.5,0.376,0.581
128.5,1821.5,0.308,0.398
129.5,1820.5,0.335,0.6
130.5,1819.5,0.386,0.573
131.5,1818.5,0.388,0.831
132.5,1817.5,0.394,0.843
133.5,1816.5,0.384,1.827
134.5,1815.5,0.26,1.368
135.5,1814.5,0.306,0.407
136.5,1813.5,0.338,0.512
137.5,1812.5,0.278,0.446
138.5,1811.5,0.232,0.66
139.5,1810.5,0.293,1.077
140.5,1809.5,0.267,1.291
141.5,1808.5,0.331,0.542
142.5,1807.5,0.255,0.511
143.5,1806.5,0.362,0.532
144.5,1805.5,0.443,0.734
145.5,1804.5,0.39,0.767
146.5,1803.5,0.437,0.613
147.5,1802.5,0.363,0.545
148.5,1801.5,0.425,0.588
149.5,1800.5,0.372,0.535
150.5,1799.5,0.415,0.529
151.5,1798.5,0.401,0.591
152.5,1797.5,0.455,0.555
153.5,1796.5,0.362,0.66
154.5,1795.5,0.339,0.544
155.5,1794.5,0.279,0.49
156.5,1793.5,0.301,0.595
157.5,1792.5,0.394,0.404
158.5,1791.5,0.243,0.333
159.5,1790.5,0.264,0.535
160.5,1789.5,0.354,0.35
161.5,1788.5,0.315,0.456
162.5,1787.5,0.384,0.621
163.5,1786.5,0.332,0.522
164.5,1785.5,0.251,0.327
165.5,1784.5,0.281,0.243
166.5,1783.5,0.264,0.316
167.5,1782.5,0.306,0.456
168.5,1781.5,0.434,0.447
169.5,1780.5,0.395,0.503
170.5,1779.5,0.361,0.449
171.5,1778.5,0.239,0.51
172.5,1777.5,0.285,0.341
173.5,1776.5,0.372,0.35
174.5,1775.5,0.289,0.381
175.5,1774.5,0.305,0.626
176.5,1773.5,0.351,0.494
177.5,1772.5,0.377,0.579
178.5,1771.5,0.267,0.472
179.5,1770.5,0.259,0.379
180.5,1769.5,0.204,0.585
181.5,1768.5,0.204,0.359
182.5,1767.5,0.337,0.381
183.5,1766.5,0.263,0.288
184.5,1765.5,0.384,0.507
185.5,1764.5,0.319,0.462
186.5,1763.5,0.389,0.487
187.5,1762.5,0.347,0.626
188.5,1761.5,0.34,0.639
189.5,1760.5,0.326,0.449
190.5,1759.5,0.231,0.29
191.5,1758.5,0.281,0.342
192.5,1757.5,0.281,0.5
193.5,1756.5,0.295,0.446
194.5,1755.5,0.362,0.425
195.5,1754.5,0.377,0.426
196.5,1753.5,0.317,0.481
197.5,1752.5,0.372,0.502
198.5,1751.5,0.16,0.542
199.5,1750.5,0.27,0.527
200.5,1749.5,0.207,0.457
201.5,1748.5,0.23,0.565
202.5,1747.5,0.256,0.562
203.5,1746.5,0.259,0.477
204.5,1745.5,0.372,0.553
205.5,1744.5,0.258,0.435
206.5,1743.5,0.321,0.644
207.5,1742.5,0.3,0.415
208.5,1741.5,0.26,0.543
209.5,1740.5,0.178,0.505
210.5,1739.5,0.186,0.552
211.5,1738.5,0.304,0.505
212.5,1737.5,0.292,0.646
213.5,1736.5,0.268,0.688
214.5,1735.5,0.219,0.268
215.5,1734.5,0.237,0.553
216.5,1733.5,0.219,0.725
217.5,1732.5,0.203,0.617
218.5,1731.5,0.335,0.59
219.5,1730.5,0.23,0.504
220.5,1729.5,0.277,0.797
221.5,1728.5,0.224,0.567
222.5,1727.5,0.222,0.499
223.5,1726.5,0.238,0.391
224.5,1725.5,0.356,0.359
225.5,1724.5,0.247,0.324
226.5,1723.5,0.278,0.386
227.5,1722.5,0.413,0.467
228.5,1721.5,0.327,0.437
229.5,1720.5,0.257,0.36
230.5,1719.5,0.228,0.518
231.5,1718.5,0.31,0.361
232.5,1717.5,0.355,0.403
233.5,1716.5,0.265,0.436
234.5,1715.5,0.259,0.265
235.5,1714.5,0.257,0.302
236.5,1713.5,0.39,0.425
237.5,1712.5,0.223,0.347
238.5,1711.5,0.404,0.51
239.5,1710.5,0.273,0.486
